iter	MultiClass
0	1.03639871511	0.98660347872	0.9463297019
3	0.9145861761
4	0.8859790854
5	0.8623952261
6	0.8412952641
7	0.8226133025
8	0.8073800557
9	0.792708936
10	0.7813692169
11	0.7703691326
12	0.7609938936
13	0.7527401403
14	0.7453290078
15	0.7393349016
16	0.7337209087
17	0.7289881195
18	0.7249182237
19	0.7208442045
20	0.7176748587
21	0.7148920509
22	0.7123252585
23	0.7100101832
24	0.70794898
25	0.7061022007
26	0.7038979516
27	0.7018883576
28	0.6999122074229	0.6983544705
30	0.6971142079
31	0.6960075836
32	0.6949277001
33	0.6936293959
34	0.692293733
35	0.6911974395
36	0.6902375356
37	0.6889518908
38	0.6881731245
39	0.6870070404
40	0.6862597382
41	0.6856212605
42	0.6847179759
43	0.6839536232
44	0.6834928772
45	0.682986088
46	0.6824738795
47	0.6818682154848	0.6813365964949	0.68060712650	0.6810592907
51	0.6801606119
52	0.6796545587
53	0.6790506674
54	0.6784538007
55	0.6780451468
56	0.677730237
57	0.6773739291
58	0.6769364439
59	0.6762990039
60	0.6758254047
61	0.675280771
62	0.6746509712
63	0.6742551859
64	0.6738158268
65	0.6734657976
66	0.6731715537
67	0.6727366727
68	0.672315772
69	0.6717383339
70	0.6714145825
71	0.6709675395
72	0.670627093
73	773	0.669611174	774	0.6693837342775	0.6690533874776	0.6687409331777	0.6684845743
78	0.6681355074
79	0.6678740434
80	0.6676706524
81	0.66738918
82	0.667079256
83	0.6667180647
84	0.6664630402
85	0.6662476576
86	0.6659626245
87	0.6656989983
88	0.6654888428989	0.6652008629090	0.6648723199191	0.6646517469292	0.6643928379393	0.6641924519494	0.6639764539595	0.66365963796	0.6622954479997	0.6620669095
98	0.6617594901
99	0.661522199
100	0.6612346517
101	0.6609126399
102	0.6605262374
103	0.6618253369
104	0.6614578551
105	0.6611924161
106	0.6606130291
107	0.6604156194
108	0.6600960714
109	0.6597108735
110	0.65944921
111	0.6590264503
112	0.6585705279
113	0.6581350258
1114	0.65694867321115	0.65672411711116	0.65644529451117	0.65616526521118	0.65590134141119	0.65547358871120	0.65518745671121	0.65474421441122	0.65458630661123	0.654259646
124	0.6540432189
125	0.6538149419
126	0.653590592
127	0.65329008161128	0.65293569421129	0.6527193018
130	0.6524069037
131	0.6520169927
132	0.6517788594
133	0.651542283
134	0.6511442233
135	0.6508983304
136	0.6507641227
137	0.6505651878
138	0.65019346
139	0.64995904514140	0.649543583141	0.6501855822
142	0.6498392077
143	0.6495989378
144	0.6492707806
145	0.6490292271
146	0.6486391323
147	0.6484449529
148	0.64811095
149	0.647838863
150	0.6477158856
151	0.6474121994
152	0.6471685119
153	0.6469717678
154	0.6468099064
155	0.646348117
156	0.645984271
157	0.6457906601
158	0.6454882964
159	0.6451503214
160	0.6450416602
161	0.6448910634
162	0.6446906143
163	0.6445174212
164	0.6443294795
165	0.6440852412
166	0.6439198024
167	0.6435941434
168	0.64343487
169	0.6432185645
170	0.6429527514
171	0.6426490964
172	0.6423690366
173	0.6421688059
174	0.6417315691
175	0.6415601908
176	0.6413384606
177	0.6410546868
178	0.6408169816
179	0.6404773525
180	0.6401406565
181	0.6399479558
182	0.639730111
183	0.639558893
184	0.639277071
185	0.638987519
186	0.6388674798
187	0.6386689625
188	0.6385495196
189	0.6382183286
190	0.6381047391
191	0.6377427845
192	0.6374667753
193	0.6371131622
194	0.6369283009
195	0.6365940863
196	0.6364369476
197	0.6362341611
198	0.6360029398
199	0.635753124
200	0.6355758169
201	0.6354124986
202	0.6351818338
203	0.6350438865
204	0.634788614
205	0.6345164538
206	0.6342813599
207	0.6340804251
208	0.6338094787
209	0.633694498
210	0.6334246312
211	0.6331542517
212	0.6328291511
213	0.6326400682
214	0.6323896421
215	0.6321925241
216	0.6320684668
217	0.6319027778
218	0.6317595495
219	0.6315063189
220	0.6313382127
221	0.6310550913
222	0.6308494313
223	0.6304910611
224	0.6303287904
225	0.6301220881
226	0.6298794805
227	0.6295602969
228	0.6293152564
229	0.6291256417
230	0.6288824678
231	0.6285245466
232	0.6282893816
233	0.6280646174
234	0.6279054583
235	0.6275832721
236	0.6273422586
237	0.6272212221
238	0.6270817954
239	0.6268867215
240	0.6266423574
241	0.626532731
242	0.6262169768
243	0.6260030755
244	0.6259164647
245	0.625758321
246	0.6254740425
247	0.6253261722
248	0.6251693362
249	0.625042126
250	0.6247687487
251	0.6246429399
252	0.6245390652
253	0.6243011508
254	0.6241609539
255	0.6239904352
256	0.623849755
257	0.6237350801
258	0.623639883
259	0.6234566633
260	0.6233051913
261	0.6231329754
262	0.6229396868
263	0.6227745503
264	0.6225753945
265	0.6224774225
266	0.6222781579
267	0.622062347
268	0.621906316
269	0.6216285943
270	0.6213430305
271	0.6210773189
272	0.6208257886
273	0.6204549549
274	0.6201796333
275	0.6196884041
276	0.6195648046
277	0.6193798617
278	0.6191669392
279	0.618844848
280	0.6187357563
281	0.6185578644
282	0.618409858
283	0.6181334133
284	0.6179748815
285	0.6178377374
286	0.6176444425
287	0.6173586408
288	0.6171225173
289	0.616901363
290	0.6167452041
291	0.6165851928
292	0.6164331516
293	0.6162312846
294	0.6159307754
295	0.6157318327
296	0.6154402157
297	0.6152436563
298	0.6149455314
299	0.6147517345
300	0.6146275052
301	0.6144237731
302	0.6143022793
303	0.6142079578
304	0.6140069346
305	0.6138567751
306	0.61372208
307	0.6134774168
308	0.6132573621
309	0.61317632
310	0.6130583915
311	0.61289455
312	0.6126827999
313	0.612394223
314	0.6122346362
315	0.6121614793
316	0.6119445344
317	0.6117779268
318	0.6115935459
319	0.6114809889
320	0.611237341
321	0.6109738704
322	0.6107845464
323	0.6105536433
324	0.610282065
325	0.6100731861
326	0.6099758697
327	0.6098553021
328	0.609605286
329	0.6094748109
330	0.6092721447
331	0.6090838708
332	0.6088133044
333	0.6086855616
334	0.6083938407
335	0.6082236447
336	0.6081313863
337	0.6080134779
338	0.6077235647
339	0.6075040087
340	0.6072526105
341	0.6070479338
342	0.6068502115
343	0.6066847775
344	0.6065310775
345	0.6064082993
346	0.606149059
347	0.6059774316
348	0.6056983788
349	0.6054930035
350	0.6053691507
