iter	Passed	Remaining
0	318	318138
1	462	230743
2	676	224819
3	807	200948
4	1029	20494555	1216	20149266	1385	19650077	1527	18935988	1656	1824219	1769	175164110	1854	166762
11	1924	158426112	2012	152826113	2099	147870114	2233	146634
15	2414	148496
16	2567	148474
17	2687	146618
18	2811	145150
19	2897	141957
20	2991	139472
21	3084	137129
22	3204	136138
23	3367	136941
24	3472	135419
25	3560	133367
26	3712	133800
27	3830	132981
28	3923	131367
29	4051	131000
30	4159	130020
31	4246	128462
32	4339	127148
33	4447	126370
34	4541	125218
35	4591	122942
36	4662	121358
37	4793	121353
38	4925	121369
39	5027	120663
40	5185	121284
41	5278	120398
42	5469	121737
43	5554	120679
44	5655	120015
45	5746	119186
46	5834	118297
47	5903	117093
48	6019	116818
49	6135	116578
550	6201	115395551	6292	114718552	6413	114553553	6557	114885554	6661	114555555	6769	114156	56	6940	114828
57	7081	115011
58	7206	114943
59	7410	116101
60	7576	116620
61	7625	115365
62	7741	115136
63	7844	114729
64	7947	114328
65	8031	113660
66	8127	113174
67	8229	112797
68	8318	112237
69	8428	111979
70	8505	111293
71	8583	11072	872	8643	10973	8744	109428
74	8874	109446
75	8994	109353
76	9123	109359
77	9245	109285
78	9366	109198
79	9455	108742
80	9554	108400
81	9656	108102
82	9794	108208
83	9878	107722
84	9970	107329
85	10086	107203
86	10188	106924
87	10284	106583
88	10389	106344
89	10528	106454
90	10634	106226
91	10764	106244
92	10896	106274
93	10986	105890
94	11069	105455
95	11191	105384
9696	11412	106249797	11863	109190
98	11960	108852
99	12050	108450
100	12139	1080510101	12217	1075610102	12289	10702101103	12412	1069361104	12518	1067061105	12603	1062101106	12707	1060101107	12860	1062171108	13003	106294
109	13086	1058801110	13181	1055711111	13251	1050671112	13314	1045131113	13410	104223114	13491	103825
115	13581	103503
116	13704	103426
117	13813	103249
118	13909	102975
119	14044	102993
120	14120	102576
121	14222	102358
122	14282	101836
123	14407	101784
124	14582	102078
125	14670	101762
126	14772	101545
127	14842	101111
128	14951	100950
129	15057	100771
130	15188	100751
131	15396	101243
132	15537	101288
133	15683	101355
134	15822	101382
135	15915	101109
136	15989	100724
137	16088	100492
138	16158	100089
139	1621140	1626140	1631141	16450	99395
142	16609	99537
143	16740	99512
144	16816	99156
145	16938	99080
146	17060	98997
147	17141	98677
148	17298	98800
149	17480	99053
150	17615	99045
151	17716	98839
152	17840	98762
153	17931	98506
154	18028	98281
155	18153	98216
156	18241	97944
157	18351	97799
158	18431	97489
159	18512	97188
160	18608	96974
161	18732	96899
162	18873	96915
163	19019	96955
164	19204	97186
165	19290	96915
166	19383	96683
167	19494	96544
168	19593	96344
169	19731	96334
170	19877	96365
171	19998	96273
172	20142	96287
173	20252	96142
174	20341	95895
175	20447	95730
176	20526	95440
177	20591	95092
178	20664	94780
179	20788	94701
180	20903	94586
181	21003	94398
182	21119	94287
183	21231	94156
184	21372	94155
185	21515	94157
186	21587	93851
187	21690	93686
188	21786	93487
189	21911	93412
190	21991	93147
191	22098	92996
192	22322	93337
193	22514	93538
194	22596	93281
195	22672	93004
196	22770	92814
197	22912	92806
198	23014	92634
199	23134	92537
200	23257	92452
201	23364	92302
202	23479	92181
203	23587	92035
204	23730	92028
205	23851	91934
206	23959	91787
207	24109	91802
208	24272	91865
209	24345	91586
210	24453	91441
211	24569	91324
212	24676	91174
213	24756	90926
214	24843	90707
215	24905	90399
216	24975	90118
217	25028	89780
218	25103	89525
219	25178	89268
220	25257	89028
221	25386	88966
222	25449	88673
223	25540	88479
224	25641	88321
225	25737	88145
226	25862	88069
227	26034	88152
228	26133	87984
